Chain Name,Customer Name,Address,City,State,Zip Code,Prod #,Description,Pack,Size,Cost,Units
,ANNS HEALTH FOOD,2634 S ZANG BLVD            ,DALLAS            ,TX,75224,14480,GNG LMN PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
,ATKINSONS MARKETS,91 E. CROY ST               ,HAILEY            ,ID,83333,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
,"BLOSSOM ON LOPEZ, INC.      ",295 VILLAGE RD              ,LOPEZ ISLAND      ,WA,98261,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,BROULIMS SUPERMARKET,141 WASHINGTON ST           ,AFTON             ,WY,83110,98474,VANILLA PLANT YOGURT,6,6 OZ,$6.18 ,1
,RJ`S MARKET                 ,1425 SANSOME STREET         ,SAN FRANCISCO     ,CA,94111,76740,NUT SPICES BAR,12,2 OZ,$30.24 ,2
,RJ`S MARKET                 ,1425 SANSOME STREET         ,SAN FRANCISCO     ,CA,94111,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,MOONFLOWER COMMUNITY COOP   ,39 EAST 100 NORTH           ,MOAB              ,UT,84532,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
,EUREKA AND HARVEST,2165 CENTRAL AVE            ,MCKINLEYVILLE     ,CA,95519,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,GUS`S COMMUNITY MKT         ,2111 HARRISON ST            ,SAN FRANCISCO     ,CA,94110,14476,COCO BANA SMOOTHIE,12,12 OZ,$169.80 ,5
,GUS`S COMMUNITY MKT         ,2111 HARRISON ST            ,SAN FRANCISCO     ,CA,94110,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
,GUS`S COMMUNITY MKT         ,2111 HARRISON ST            ,SAN FRANCISCO     ,CA,94110,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
,HAIGHT STREET MARKET        ,1530 HAIGHT STREET          ,SAN FRANCISCO     ,CA,94117,14476,COCO BANA SMOOTHIE,12,12 OZ,$33.96 ,1
,HAIGHT STREET MARKET        ,1530 HAIGHT STREET          ,SAN FRANCISCO     ,CA,94117,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
,EL CERRITO NATURAL          ,10367 SAN PABLO AVENUE      ,EL CERRITO        ,CA,94530,70679,FRUIT BERRY BAR,12,2 OZ,$15.12 ,1
,KEAAU NATURAL FOODS,16-586 OLD VOLCANO RD STE109,"KEAAU,  HAWAII    ",HI,96749,70679,FRUIT BERRY BAR,12,2 OZ,$15.12 ,1
,KEAAU NATURAL FOODS,16-586 OLD VOLCANO RD STE109,"KEAAU,  HAWAII    ",HI,96749,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,KEAAU NATURAL FOODS,16-586 OLD VOLCANO RD STE109,"KEAAU,  HAWAII    ",HI,96749,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,MANDELA FOODS COOPERATIVE   ,1430 7TH ST                 ,OAKLAND           ,CA,94607,76740,NUT SPICES BAR,12,2 OZ,$75.60 ,5
,MANDELA FOODS COOPERATIVE   ,1430 7TH ST                 ,OAKLAND           ,CA,94607,80760,CHOC PRTN BAR,12,2 OZ,$30.24 ,2
,MARKET 5 ONE 5              ,915 R ST                    ,SACRAMENTO        ,CA,95811,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,MT MAMA NATURAL FOODS INC   ,1625 W UINTAH               ,COLORADO SPRINGS  ,CO,80904,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
,MT MAMA NATURAL FOODS INC   ,1625 W UINTAH               ,COLORADO SPRINGS  ,CO,80904,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,NATURAL PANTRY DRY          ,3680 BARROW ST              ,ANCHORAGE         ,AK,99503,70679,FRUIT BERRY BAR,12,2 OZ,$15.12 ,1
,NATURAL PANTRY DRY          ,3680 BARROW ST              ,ANCHORAGE         ,AK,99503,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,NATURAL PANTRY DRY          ,3680 BARROW ST              ,ANCHORAGE         ,AK,99503,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,NEW MOON NATURAL FOODS,11357 DONNER PASS RD        ,TRUCKEE           ,CA,96161,66736,HONEY BUTTER SMOOTHIE,12,12 OZ,$33.96 ,1
,NATURE`S MARKET             ,26011 - 104TH AVE SE        ,KENT              ,WA,98031,45453,SUPERFOOD POWDER,1,20 OZ,$97.14 ,6
,RED APPLE ON 6TH            ,849 W 6TH AVE               ,EUGENE            ,OR,97402,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,RAINBOW GROCERY SF,1745 FOLSOM STREET          ,SAN FRANCISCO     ,CA,94103,56732,GREEN PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
,RAINBOW GROCERY SF,1745 FOLSOM STREET          ,SAN FRANCISCO     ,CA,94103,60678,CITRUS SMOOTHIE,12,12 OZ,$33.96 ,1
,RAINBOW GROCERY SF,1745 FOLSOM STREET          ,SAN FRANCISCO     ,CA,94103,66736,HONEY BUTTER SMOOTHIE,12,12 OZ,$33.96 ,1
,RAINBOW GROCERY SF,1745 FOLSOM STREET          ,SAN FRANCISCO     ,CA,94103,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,RAINBOW GROCERY SF,1745 FOLSOM STREET          ,SAN FRANCISCO     ,CA,94103,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,RAYS FOOD PLACE,875 REDWOOD DRIVE           ,GARBERVILLE       ,CA,95542,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
,ROBERTS OF WOODSIDE         ,3015 WOODSIDE ROAD          ,WOODSIDE          ,CA,94062,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
,HARVEST MARKET              ,171 BOATYARD DRIVE          ,FORT BRAGG        ,CA,95437,94576,CHOC PLANT YOGURT,6,6 OZ,$49.44 ,8
,GRASS ROOTS NATURAL FOODS   ,2030 DUNLAP DRIVE           ,SOUTH LAKE TAHOE  ,CA,96510,56732,GREEN PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
,GRASS ROOTS NATURAL FOODS   ,2030 DUNLAP DRIVE           ,SOUTH LAKE TAHOE  ,CA,96510,60678,CITRUS SMOOTHIE,12,12 OZ,$33.96 ,1
,S & S PRODUCE               ,1924 MANGROVE AVENUE        ,CHICO             ,CA,95926,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
,SUNSHINE HEALTH FOODS,410 TRAINOR GATE RD         ,FAIRBANKS         ,AK,99701,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
,SUNSHINE HEALTH FOODS,3525 COLLEGE RD             ,FAIRBANKS         ,AK,99709,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
,GOOD MEASURE MARKET         ,614 S MAIN ST               ,SEARCY            ,AR,72143,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
,INTERDEPENDENCE FOODS       ,2081 W STATE RT 89A #5      ,SEDONA            ,AZ,86336,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,TEMPE FARMERS MARKET        ,805 S FARMERS AVE           ,TEMPE             ,AZ,85016,70679,FRUIT BERRY BAR,12,2 OZ,$75.60 ,5
,TEMPE FARMERS MARKET        ,805 S FARMERS AVE           ,TEMPE             ,AZ,85016,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,TEMPE FARMERS MARKET        ,805 S FARMERS AVE           ,TEMPE             ,AZ,85016,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,ARTESIAN HEALTH FOODS II    ,2251 W. GRANT LINE RD       ,TRACY             ,CA,95377,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
,MOUNTAIN SONG NATL FOODS    ,314 NORTH MT SHASTA BLVD    ,MT. SHASTA        ,CA,96067,35454,PLAIN PLANT YOGURT,6,6 OZ,$6.18 ,1
,CHAUTAUQUA NATURAL,783 LOCUST                  ,GARBERVILLE       ,CA,95542,84475,BERRY PLANT YOGURT,6,6 OZ,$12.36 ,2
,CHAUTAUQUA NATURAL,783 LOCUST                  ,GARBERVILLE       ,CA,95542,98474,VANILLA PLANT YOGURT,6,6 OZ,$12.36 ,2
,CHAUTAUQUA NATURAL,783 LOCUST                  ,GARBERVILLE       ,CA,95542,94576,CHOC PLANT YOGURT,6,6 OZ,$49.44 ,8
,WILLIAMS NATURAL FOODS      ,12249 SAN PABLO AVE         ,RICHMOND          ,CA,94805,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
,HUDSON GREENS AND GOODS     ,610 FIRST STE#15            ,NAPA              ,CA,94559,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,WESTRIDGE MIDTOWN MARKET    ,131 W OJAI AVE              ,OJAI              ,CA,93023,35454,PLAIN PLANT YOGURT,6,6 OZ,$18.54 ,3
,WESTRIDGE MIDTOWN MARKET    ,131 W OJAI AVE              ,OJAI              ,CA,93023,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
,DIABLO FOODS                ,3615 MT DIABLO BLVD         ,LAFAYETTE         ,CA,94549,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
,NATURES OASIS               ,300 S CAMINO DEL RIO        ,DURANGO           ,CO,81301,14476,COCO BANA SMOOTHIE,12,12 OZ,$33.96 ,1
,NATURES OASIS               ,300 S CAMINO DEL RIO        ,DURANGO           ,CO,81301,14480,GNG LMN PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
,ELEPHANT CLOUD              ,200 COTTONWOOD              ,CRESTONE          ,CO,81131,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
,KILAUEA GENERAL STORE,19-3972 OLD VOLCANO RD      ,"VOLCANO , HAWAII  ",HI,96785,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
,CHOICE MART,82-6066 MAMALAHOA HWY       ,CAPT COOK         ,HI,96704,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
,HOKU FOODS NATURAL MKT,4585 LEHUA ST               ,KAPAA             ,HI,96746,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
,STAY WELL HEALTH FOOD       ,1563 FILLMORE ST #1B        ,TWIN FALLS        ,ID,83301,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
,NEW ORLEANS FOOD COOP       ,2372 ST CLAUDE              ,NEW ORLEANS       ,LA,70117,45453,SUPERFOOD POWDER,1,20 OZ,$80.95 ,5
,NEW ORLEANS FOOD COOP       ,2372 ST CLAUDE              ,NEW ORLEANS       ,LA,70117,98474,VANILLA PLANT YOGURT,6,6 OZ,$12.36 ,2
